,name,age,height,short-age
247,Michael Ironside,75,5ft 9,False
248,Kate Jackson,77,5ft 8,False
249,Famke Janssen,61,5ft 11,False
250,Jim Jarmusch,72,6ft 2,False
251,Ron Jeremy,72,5ft 6,False
252,Don Johnson,76,5ft 9,False
253,Jeffrey Jones,79,6ft 4,False
254,Diane Keaton,79,5ft 7,False
255,Michael Keaton,74,5ft 9,False
256,Patsy Kensit,57,5ft 4,False
257,Sally Kirkland,84,5ft 9,False
258,Mia Kirshner,50,5ft 1,False
259,Walter Koenig,89,5ft 6,False
260,Elias Koteas,64,5ft 10,False
261,Alice Krige,71,5ft 4,False
262,Christopher Lambert,68,5ft 10,False
263,John Landis,75,5ft 10,False
264,Heather Langenkamp,61,5ft 3,False
265,John Leguizamo,65,5ft 6,False
266,Jennifer Jason Leigh,63,5ft 2,False
267,Robert Sean Leonard,56,6ft 0,False
268,Juliette Lewis,52,5ft 6,False
269,Jennifer Lien,51,5ft 2,False
270,Matthew Lillard,55,6ft 3,False
271,Christopher Lloyd,87,6ft 1,False
272,Emily Lloyd,55,5ft 7,False
273,Nia Long,55,5ft 2,False
274,Rob Lowe,61,5ft 10,False
275,Carey Lowell,64,5ft 10,False
276,Shirley MacLaine,91,5ft 6,False
277,Elle Macpherson,61,5ft 11,False
278,Michael Madsen,68,6ft 2,False
279,Virginia Madsen,64,5ft 4,False
280,Lee Majors,86,5ft 11,False
281,John Malkovich,72,6ft 0,False
282,Sophie Marceau,59,5ft 7,False
283,Vanessa Marcil,57,5ft 3,False
284,Julianna Margulies,59,5ft 6,False
285,Mary Stuart Masterson,59,5ft 4,False
286,Heather Matarazzo,43,5ft 3,False
287,Samantha Mathis,55,5ft 5,True
288,Mathilda May,60,5ft 6,False
289,Debi Mazar,61,5ft 5,False
290,Andrew McCarthy,63,5ft 8,False
291,Frances McDormand,68,5ft 5,False
292,Malcolm McDowell,82,5ft 8,False
293,Gates McFadden,76,5ft 8,False
294,Kelly McGillis,68,5ft 9,False
295,Rose McGowan,52,5ft 3,False
296,Robert Duncan McNeill,61,6ft,False
297,Colm Meaney,72,5ft 11,False
298,Bette Midler,80,5ft 1,False
299,Penelope Ann Miller,61,5ft 6,False
300,Helen Mirren,80,5ft 4,False
301,Matthew Modine,66,6ft 3,False
302,Alfred Molina,72,6ft 2,False
303,Kate Mulgrew,70,5ft 5,False
304,Dermot Mulroney,62,5ft 8,False
305,Liam Neeson,73,6ft 4,False
306,Sam Neill,78,5ft 11,False
307,Judd Nelson,66,5ft 9,False
308,Brigitte Nielsen,62,6ft 0,False
309,Nick Nolte,84,6ft 0,False
310,Jeremy Northam,64,6ft 0,False
311,Chris O'Donnell,55,5ft 9,False
312,Lena Olin,70,5ft 9,False
313,Julia Ormond,60,5ft 6,False
314,Gwyneth Paltrow,53,5ft 9,False
315,Sarah Jessica Parker,60,5ft 2,False
316,Jason Patric,59,5ft 9,True
317,Alexandra Paul,62,5ft 10,False
318,Sean Penn,65,5ft 8,False
319,Ron Perlman,75,6ft 0,False
320,Joe Pesci,82,5ft 3,False
321,Robert Picardo,72,5ft 9,False
322,Jada Pinkett Smith,54,4ft 11,False
323,Martha Plimpton,55,5ft 4,False
324,Roman Polanski,92,5ft 4,False
325,Jason Priestley,56,5ft 6,True
326,Victoria Principal,75,5ft 6,False
327,Jonathan Pryce,78,6ft 0,False
328,Sam Raimi,66,5ft 8,False
329,Robert Redford,89,5ft 10,False
330,Vanessa Redgrave,88,5ft 11,False
331,Jean Reno,77,6ft 1,False
332,Ving Rhames,66,5ft 11,False
333,Giovanni Ribisi,51,5ft 7,False
334,Ariana Richards,46,5ft 5,False
335,Denise Richards,54,5ft 5,False
336,Joely Richardson,60,5ft 9,False
337,Eric Roberts,69,5ft 9,False
338,Isabella Rossellini,73,5ft 7,False
339,Tim Roth,64,5ft 7,False
340,Mickey Rourke,73,5ft 11,False
341,Kurt Russell,74,5ft 9,False
342,Theresa Russell,68,5ft 5,False
343,Rene Russo,71,5ft 8,False
344,Laura San Giacomo,64,5ft 2,False
345,Fred Savage,49,5ft 7,False
346,John Sayles,75,6ft 4,False
347,Greta Scacchi,65,5ft 8,False
348,Johnathon Schaech,56,5ft 11,False
349,Claudia Schiffer,55,5ft 11,False
350,Liev Schreiber,58,6ft 2,False
351,Jerry Seinfeld,71,5ft 11,False
352,Tom Selleck,80,6ft 4,False
353,William Shatner,94,5ft 9,False
354,Ally Sheedy,63,5ft 5,False
355,Martin Sheen,85,5ft 7,False
356,Gary Sinise,70,5ft 8,False
357,Marina Sirtis,70,5ft 3,False
358,Tom Skerritt,92,5ft 11,False
359,Helen Slater,62,5ft 7,False
360,Jaclyn Smith,80,5ft 6,False
361,Wesley Snipes,63,5ft 9,False
362,Talisa Soto,58,5ft 8,True
363,Sissy Spacek,76,5ft 1,False
364,James Spader,65,5ft 8,False
365,Brent Spiner,76,5ft 10,False
366,Terence Stamp,87,6ft 0,False
367,Madeleine Stowe,67,5ft 6,False
368,David Strathairn,76,5ft 11,False
369,Meryl Streep,76,5ft 6,False
370,Barbra Streisand,83,5ft 4,False
371,Kiefer Sutherland,59,5ft 8,False
372,Dominique Swain,45,5ft 6,False
373,Lili Taylor,58,5ft 2,False
374,David Thewlis,62,6ft 2,True
